Sample,Index,File,Origin,URL,Notes
cy,0,DnBCymbalA-01.wav,Computer Music magazine (special issue 68),,Drum n bass -> Cyclick -> Drum Hits -> Cymbal Process A
cy,1,DnBCymbalA-02.wav,Computer Music magazine (special issue 68),,Drum n bass -> Cyclick -> Drum Hits -> Cymbal Process A
cy,2,DnBCymbalA-03.wav,Computer Music magazine (special issue 68),,Drum n bass -> Cyclick -> Drum Hits -> Cymbal Process A
cy,3,DnBCymbalA-04.wav,Computer Music magazine (special issue 68),,Drum n bass -> Cyclick -> Drum Hits -> Cymbal Process A
cy,4,DnBCymbalA-05.wav,Computer Music magazine (special issue 68),,Drum n bass -> Cyclick -> Drum Hits -> Cymbal Process A
eg,0,Processed_32(125BPM).wav,Computer Music magazine (special issue 68),,Pure Evil -> Groove Criminals -> Evil_Guitar_Noise
gt,0,Processed_13.wav,Computer Music magazine (special issue 68),,Pure Evil -> Groove Criminals -> Evil_Guitar_Noise
hh,0,010-HH_DrumHits_OpenHat09.wav,Computer Music magazine (special issue 68),,Hip-hop -> Groove Criminals -> Drum Hits -> HH_DrumHits_OpenHat09.wav
hh,1,020-HH_DrumHits_OpenHat10.wav,Computer Music magazine (special issue 68),,Hip-hop -> Groove Criminals -> Drum Hits -> HH_DrumHits_OpenHat10.wav
hh,2,030-HH_Push_01.wav,Computer Music magazine (special issue 68),,Hip-hop -> Groove Criminals -> Drum Hits -> HH_Push_01.wav
k,0,010-CYCdh_ElecK03-Kick02.-1db.wav,"SampleRadar: 1,000 free drum samples",http://www.musicradar.com/news/drums/sampleradar-1000-free-drum-samples-229460,Drum Kits -> Kit 6 - Electro
pc,0,RR_PolyCoder_110-C.wav,Computer Music magazine (special issue 68),,Rise of the Robots -> Cyclick -> Loops n Lines -> Synths -> 110bpm
pc,1,RR_Robocoder_110-E.wav,Computer Music magazine (special issue 68),,Rise of the Robots -> Cyclick -> Loops n Lines -> Synths -> 110bpm
pclow,0,RR_LowCoder_110-C.wav,Computer Music magazine (special issue 68),,Rise of the Robots -> Cyclick -> Loops n Lines -> Synths -> 110bpm
sn,0,HH_DrumHits_Snare08.wav,Computer Music magazine (special issue 68),,Hip-hop -> Groove Criminals -> Drum Hits
udu,0,Udu_04(90BPM).wav,Computer Music magazine (special issue 68),,Ethnic Textures -> Udu
udu,1,Udu_15(90BPM).wav,Computer Music magazine (special issue 68),,Ethnic Textures -> Udu
udu,2,Udu_16(90BPM).wav,Computer Music magazine (special issue 68),,Ethnic Textures -> Udu
udu,3,Udu_19(90BPM).wav,Computer Music magazine (special issue 68),,Ethnic Textures -> Udu
vb,0,Virus_B_07(C1).wav,Computer Music magazine (special issue 68),,Bass Boutique -> Groove Criminals -> Bass_Singles
vb,1,Virus_B_07(C2).wav,Computer Music magazine (special issue 68),,Bass Boutique -> Groove Criminals -> Bass_Singles
wb,0,Wet_Bass_F#2.wav,Computer Music magazine (special issue 68),,Aquatic Adventures -> Groove Criminals -> Multis -> Wet_Bass
wb,1,Wet_Bass_F1.wav,Computer Music magazine (special issue 68),,Aquatic Adventures -> Groove Criminals -> Multis -> Wet_Bass
wb,2,Wet_Bass_F2.wav,Computer Music magazine (special issue 68),,Aquatic Adventures -> Groove Criminals -> Multis -> Wet_Bass
